"","X","player","action","numMoves","frontier","corners","Xsquares","CSquares","parity","state","gameId","win"
"1",1,2,45,0,-8,0,0,0,1,"beginning",1,1
"2",3,2,43,-4,-4,0,0,0,1,"beginning",1,1
"3",5,2,20,-3,0,0,0,0,1,"beginning",1,1
"4",7,2,29,1,1,0,0,0,1,"beginning",1,1
"5",9,2,46,0,1,0,0,0,1,"beginning",1,1
"6",11,2,22,3,-3,0,0,0,1,"beginning",1,1
"7",13,2,39,0,-4,0,0,0,1,"beginning",1,1
"8",15,2,3,0,-8,0,0,0,1,"beginning",1,1
"9",17,2,11,1,-3,0,0,0,1,"beginning",1,1
"10",19,2,19,6,-8,0,0,0,1,"beginning",1,1
"11",21,2,26,3,-10,0,0,0,1,"middle",1,1
"12",23,2,42,0,-9,0,0,0,1,"middle",1,1
"13",25,2,58,5,-8,0,0,0,1,"middle",1,1
"14",27,2,51,3,-5,0,0,0,1,"middle",1,1
"15",29,2,30,2,-6,0,0,0,1,"middle",1,1
"16",31,2,53,7,-10,0,0,0,1,"middle",1,1
"17",33,2,13,5,-5,0,0,0,1,"middle",1,1
"18",35,2,60,4,-7,0,0,0,1,"middle",1,1
"19",37,2,5,7,-9,0,0,-1,1,"middle",1,1
"20",39,2,17,8,-9,0,0,-1,1,"middle",1,1
"21",41,2,49,6,-7,0,0,-1,1,"end",1,1
"22",43,2,63,4,-5,0,1,-2,1,"end",1,1
"23",45,2,55,5,-7,0,0,-1,1,"end",1,1
"24",47,2,15,4,-7,0,0,-1,1,"end",1,1
"25",49,2,32,3,-6,0,0,0,1,"end",1,1
"26",51,2,9,1,-3,0,0,0,1,"end",1,1
"27",53,2,48,-3,1,0,0,0,1,"end",1,1
"28",55,2,1,1,0,-1,-1,0,1,"end",1,1
"29",57,2,7,0,0,-1,-1,0,1,"end",1,1
"30",59,2,8,0,0,0,0,0,1,"end",1,1
"31",62,2,45,0,-8,0,0,0,1,"beginning",2,0
"32",64,2,43,-4,-4,0,0,0,1,"beginning",2,0
"33",66,2,29,-3,0,0,0,0,1,"beginning",2,0
"34",68,2,53,-1,2,0,0,0,1,"beginning",2,0
"35",70,2,60,-3,-4,0,0,0,1,"beginning",2,0
"36",72,2,26,-2,-3,0,0,0,1,"beginning",2,0
"37",74,2,21,-1,-5,0,0,0,1,"beginning",2,0
"38",76,2,23,2,-6,0,0,0,1,"beginning",2,0
"39",78,2,50,2,1,0,0,0,1,"beginning",2,0
"40",80,2,41,-1,4,0,0,0,1,"beginning",2,0
"41",82,2,59,1,5,0,0,0,1,"middle",2,0
"42",84,2,24,1,3,0,0,0,1,"middle",2,0
"43",86,2,16,-2,7,0,0,0,1,"middle",2,0
"44",88,2,48,-3,9,0,0,0,1,"middle",2,0
"45",90,2,13,-3,8,0,0,1,1,"middle",2,0
"46",92,2,4,-3,7,0,0,1,1,"middle",2,0
"47",94,2,47,-2,9,0,0,1,1,"middle",2,0
"48",96,2,10,-2,10,0,0,1,1,"middle",2,0
"49",98,2,57,-7,12,0,0,1,1,"middle",2,0
"50",100,2,17,-3,7,0,-1,2,1,"middle",2,0
"51",102,2,6,-1,5,0,-1,2,1,"end",2,0
"52",104,2,39,0,5,0,-1,3,1,"end",2,0
"53",106,2,11,-1,5,-1,-1,2,1,"end",2,0
"54",108,2,15,-1,5,-1,-1,2,1,"end",2,0
"55",110,2,0,-2,5,-1,-1,2,1,"end",2,0
"56",112,2,54,-2,3,0,0,1,1,"end",2,0
"57",114,2,55,-2,4,-1,0,2,1,"end",2,0
"58",119,2,1,-1,1,-2,0,0,0,"end",2,0
"59",123,2,45,0,-8,0,0,0,1,"beginning",3,1
"60",125,2,43,-4,-4,0,0,0,1,"beginning",3,1
"61",127,2,20,-3,0,0,0,0,1,"beginning",3,1
"62",129,2,26,1,1,0,0,0,1,"beginning",3,1
"63",131,2,33,-2,1,0,0,0,1,"beginning",3,1
"64",133,2,38,0,1,0,0,0,1,"beginning",3,1
"65",135,2,29,0,2,0,0,0,1,"beginning",3,1
"66",137,2,46,0,0,0,0,0,1,"beginning",3,1
"67",139,2,23,0,0,0,0,0,1,"beginning",3,1
"68",141,2,41,1,-3,0,0,0,1,"beginning",3,1
"69",143,2,39,0,-4,0,0,0,1,"middle",3,1
"70",145,2,13,0,-3,0,0,0,1,"middle",3,1
"71",147,2,22,0,-3,0,0,0,1,"middle",3,1
"72",149,2,55,0,-6,0,0,0,1,"middle",3,1
"73",151,2,61,0,-5,0,0,1,1,"middle",3,1
"74",153,2,60,0,-6,0,0,1,1,"middle",3,1
"75",155,2,10,3,-6,0,0,1,1,"middle",3,1
"76",157,2,59,3,-4,0,0,1,1,"middle",3,1
"77",159,2,25,4,-8,0,-1,1,1,"middle",3,1
"78",161,2,57,4,-5,0,-1,1,1,"middle",3,1
"79",163,2,18,2,-2,0,-1,2,1,"end",3,1
"80",165,2,12,5,-2,0,-2,2,1,"end",3,1
"81",167,2,56,6,-2,0,-2,1,1,"end",3,1
"82",169,2,16,4,-2,1,-1,0,1,"end",3,1
"83",171,2,1,4,-1,1,-2,0,1,"end",3,1
"84",173,2,8,1,2,0,-1,0,1,"end",3,1
"85",175,2,5,1,2,0,-1,0,1,"end",3,1
"86",177,2,15,-2,3,0,1,0,1,"end",3,1
"87",179,2,63,1,0,0,1,0,1,"end",3,1
"88",181,2,-9,0,0,1,1,0,1,"end",3,1
"89",184,2,45,0,-8,0,0,0,1,"beginning",4,0
"90",186,2,43,-4,-4,0,0,0,1,"beginning",4,0
"91",188,2,20,-3,0,0,0,0,1,"beginning",4,0
"92",190,2,29,1,1,0,0,0,1,"beginning",4,0
"93",192,2,42,0,1,0,0,0,1,"beginning",4,0
"94",194,2,30,2,-3,0,0,0,1,"beginning",4,0
"95",196,2,19,4,-4,0,0,0,1,"beginning",4,0
"96",198,2,33,4,-4,0,0,0,1,"beginning",4,0
"97",200,2,23,1,-2,0,0,0,1,"beginning",4,0
"98",202,2,31,2,-1,0,0,0,1,"beginning",4,0
"99",204,2,13,1,-4,0,0,-1,1,"middle",4,0
"100",206,2,25,-4,0,0,0,-1,1,"middle",4,0
"101",208,2,16,-4,-3,0,0,-1,1,"middle",4,0
"102",210,2,4,-5,-3,0,0,-2,1,"middle",4,0
"103",212,2,6,-3,-3,0,0,-2,1,"middle",4,0
"104",214,2,55,-3,-1,0,0,-1,1,"middle",4,0
"105",216,2,40,-3,0,0,0,0,1,"middle",4,0
"106",218,2,17,-1,-4,0,0,0,1,"middle",4,0
"107",220,2,14,1,-3,0,0,0,1,"middle",4,0
"108",222,2,58,7,-7,0,1,0,1,"middle",4,0
"109",224,2,60,5,-2,0,1,0,1,"end",4,0
"110",226,2,62,2,0,0,1,0,1,"end",4,0
"111",228,2,0,1,0,0,1,1,1,"end",4,0
"112",230,2,9,1,3,0,0,2,1,"end",4,0
"113",232,2,54,-4,5,0,0,2,1,"end",4,0
"114",234,2,59,-3,5,0,1,2,1,"end",4,0
"115",236,2,48,-1,1,0,0,2,1,"end",4,0
"116",238,2,47,-1,3,0,2,3,1,"end",4,0
"117",240,2,1,-1,2,-1,1,1,1,"end",4,0
"118",245,2,29,0,-8,0,0,0,1,"beginning",5,1
"119",247,2,26,0,-9,0,0,0,1,"beginning",5,1
"120",249,2,43,-3,-5,0,0,0,1,"beginning",5,1
"121",251,2,10,-5,-2,0,0,0,1,"beginning",5,1
"122",253,2,37,-3,-2,0,0,0,1,"beginning",5,1
"123",255,2,42,-2,-3,0,0,0,1,"beginning",5,1
"124",257,2,33,-5,-1,0,0,0,1,"beginning",5,1
"125",259,2,25,-3,1,0,0,0,1,"beginning",5,1
"126",261,2,12,2,-2,0,0,0,1,"beginning",5,1
"127",263,2,50,-3,-1,0,0,0,1,"beginning",5,1
"128",265,2,4,2,-3,0,0,0,1,"middle",5,1
"129",267,2,40,4,-3,0,0,0,1,"middle",5,1
"130",269,2,24,1,-2,0,0,0,1,"middle",5,1
"131",271,2,8,0,-2,0,0,0,1,"middle",5,1
"132",273,2,59,2,-1,0,0,1,1,"middle",5,1
"133",275,2,39,5,-4,0,0,1,1,"middle",5,1
"134",277,2,48,5,-1,0,0,1,1,"middle",5,1
"135",279,2,2,4,-1,0,0,2,1,"middle",5,1
"136",281,2,61,2,-2,0,0,1,1,"middle",5,1
"137",283,2,62,1,1,0,0,1,1,"middle",5,1
"138",285,2,46,4,1,0,0,1,1,"end",5,1
"139",287,2,23,5,-2,0,0,1,1,"end",5,1
"140",289,2,30,6,0,0,0,0,1,"end",5,1
"141",291,2,47,3,0,0,-1,0,1,"end",5,1
"142",293,2,0,2,-3,0,-1,-1,1,"end",5,1
"143",295,2,56,3,-3,1,-1,-1,1,"end",5,1
"144",297,2,22,2,-3,2,0,-1,1,"end",5,1
"145",299,2,63,3,-2,2,-1,-1,1,"end",5,1
"146",300,2,6,4,-2,3,0,-1,0,"end",5,1
"147",302,2,7,2,0,3,-1,0,0,"end",5,1
"148",303,2,58,1,0,4,0,0,1,"end",5,1
"149",306,2,45,0,-8,0,0,0,1,"beginning",6,0
"150",308,2,43,-4,-4,0,0,0,1,"beginning",6,0
"151",310,2,53,-3,0,0,0,0,1,"beginning",6,0
"152",312,2,60,2,-1,0,0,0,1,"beginning",6,0
"153",314,2,29,-1,-3,0,0,0,1,"beginning",6,0
"154",316,2,42,1,-3,0,0,0,1,"beginning",6,0
"155",318,2,58,-3,-4,0,0,0,1,"beginning",6,0
"156",320,2,41,3,-6,0,0,0,1,"beginning",6,0
"157",322,2,26,-3,-3,0,0,0,1,"beginning",6,0
"158",324,2,46,-3,-2,0,0,0,1,"beginning",6,0
"159",326,2,61,-2,1,0,0,0,1,"middle",6,0
"160",328,2,23,0,-3,0,0,0,1,"middle",6,0
"161",330,2,11,0,2,0,0,0,1,"middle",6,0
"162",332,2,13,-2,5,0,0,0,1,"middle",6,0
"163",334,2,18,-1,3,0,0,0,1,"middle",6,0
"164",336,2,24,-3,5,0,0,0,1,"middle",6,0
"165",338,2,40,-2,4,0,0,0,1,"middle",6,0
"166",340,2,5,0,3,0,0,0,1,"middle",6,0
"167",342,2,4,0,1,0,0,0,1,"middle",6,0
"168",344,2,22,2,-2,0,0,-1,1,"middle",6,0
"169",346,2,10,-1,-2,0,0,-1,1,"end",6,0
"170",348,2,16,-3,0,0,-1,-1,1,"end",6,0
"171",350,2,48,-1,-2,0,-2,-1,1,"end",6,0
"172",352,2,63,-2,-1,0,-2,-1,1,"end",6,0
"173",354,2,14,-3,1,1,-1,0,1,"end",6,0
"174",356,2,56,-2,2,1,0,-1,1,"end",6,0
"175",358,2,39,-4,2,2,1,-2,1,"end",6,0
"176",361,2,1,0,0,1,0,0,0,"end",6,0
"177",363,2,9,-1,0,0,0,0,0,"end",6,0
"178",367,2,29,0,-8,0,0,0,1,"beginning",7,1
"179",369,2,26,0,-9,0,0,0,1,"beginning",7,1
"180",371,2,43,-3,-5,0,0,0,1,"beginning",7,1
"181",373,2,11,-5,-2,0,0,0,1,"beginning",7,1
"182",375,2,37,4,-1,0,0,0,1,"beginning",7,1
"183",377,2,41,3,-3,0,0,0,1,"beginning",7,1
"184",379,2,52,2,2,0,0,0,1,"beginning",7,1
"185",381,2,51,-1,5,0,0,0,1,"beginning",7,1
"186",383,2,60,1,3,0,0,0,1,"beginning",7,1
"187",385,2,50,-1,4,0,0,0,1,"beginning",7,1
"188",387,2,16,0,3,0,0,0,1,"middle",7,1
"189",389,2,17,0,8,0,0,0,1,"middle",7,1
"190",391,2,32,-6,6,0,0,0,1,"middle",7,1
"191",393,2,10,-1,-1,0,0,0,1,"middle",7,1
"192",395,2,21,2,-2,0,0,0,1,"middle",7,1
"193",397,2,48,-1,1,0,0,0,1,"middle",7,1
"194",399,2,49,-2,2,0,0,1,1,"middle",7,1
"195",401,2,38,0,-5,0,1,1,1,"middle",7,1
"196",403,2,46,1,-3,0,1,1,1,"middle",7,1
"197",405,2,39,0,-3,0,1,0,1,"middle",7,1
"198",407,2,22,-1,-1,0,1,0,1,"end",7,1
"199",409,2,9,0,-1,-1,0,-1,1,"end",7,1
"200",411,2,12,1,-2,-1,-1,-2,1,"end",7,1
"201",413,2,4,-3,1,-1,-2,-2,1,"end",7,1
"202",415,2,13,1,-3,-1,-2,-2,1,"end",7,1
"203",417,2,63,2,-4,-1,-2,-3,1,"end",7,1
"204",419,2,15,3,-4,0,-1,-2,1,"end",7,1
"205",421,2,0,1,-2,0,-1,-2,1,"end",7,1
"206",423,2,7,1,-1,1,-1,0,1,"end",7,1
"207",425,2,57,1,-1,2,0,0,1,"end",7,1
"208",428,2,45,0,-8,0,0,0,1,"beginning",8,0
"209",430,2,43,-4,-4,0,0,0,1,"beginning",8,0
"210",432,2,30,-3,0,0,0,0,1,"beginning",8,0
"211",434,2,42,-1,1,0,0,0,1,"beginning",8,0
"212",436,2,33,-3,1,0,0,0,1,"beginning",8,0
"213",438,2,52,1,4,0,0,0,1,"beginning",8,0
"214",440,2,38,-2,5,0,0,0,1,"beginning",8,0
"215",442,2,58,-5,4,0,0,0,1,"beginning",8,0
"216",444,2,22,-1,-1,0,0,0,1,"beginning",8,0
"217",446,2,26,-3,-1,0,0,0,1,"beginning",8,0
"218",448,2,12,-1,-1,0,0,0,1,"middle",8,0
"219",450,2,47,-3,4,0,0,0,1,"middle",8,0
"220",452,2,15,-5,8,0,0,0,1,"middle",8,0
"221",454,2,19,-3,9,0,0,1,1,"middle",8,0
"222",456,2,59,-5,10,0,-1,1,1,"middle",8,0
"223",458,2,5,-2,6,0,-1,1,1,"middle",8,0
"224",460,2,17,-5,4,0,-1,0,1,"middle",8,0
"225",462,2,40,-5,7,0,-1,0,1,"middle",8,0
"226",464,2,16,-7,6,0,-1,0,1,"middle",8,0
"227",466,2,50,-6,8,0,-2,0,1,"middle",8,0
"228",468,2,56,-4,6,0,-2,0,1,"end",8,0
"229",470,2,48,-5,7,1,-1,1,1,"end",8,0
"230",472,2,55,-5,7,1,-1,1,1,"end",8,0
"231",474,2,62,-9,9,0,0,1,1,"end",8,0
"232",477,2,14,-4,4,-1,0,0,0,"end",8,0
"233",479,2,3,-2,2,-1,0,0,0,"end",8,0
"234",481,2,11,-3,0,-1,0,0,0,"end",8,0
"235",483,2,8,2,-2,-1,-1,0,0,"end",8,0
"236",485,2,10,1,-1,-2,0,0,0,"end",8,0
"237",489,2,29,0,-8,0,0,0,1,"beginning",9,0
"238",491,2,26,0,-8,0,0,0,1,"beginning",9,0
"239",493,2,43,-3,-5,0,0,0,1,"beginning",9,0
"240",495,2,42,-5,-2,0,0,0,1,"beginning",9,0
"241",497,2,11,-5,-4,0,0,0,1,"beginning",9,0
"242",499,2,51,5,0,0,0,0,1,"beginning",9,0
"243",501,2,37,2,-3,0,0,0,1,"beginning",9,0
"244",503,2,33,-3,-2,0,0,0,1,"beginning",9,0
"245",505,2,17,-6,3,0,0,0,1,"beginning",9,0
"246",507,2,50,-8,2,0,0,0,1,"beginning",9,0
"247",509,2,10,-2,-1,0,0,0,1,"middle",9,0
"248",511,2,32,-2,-3,0,0,0,1,"middle",9,0
"249",513,2,21,-3,-1,0,0,0,1,"middle",9,0
"250",515,2,3,-3,1,0,0,0,1,"middle",9,0
"251",517,2,1,-4,1,0,0,0,1,"middle",9,0
"252",519,2,49,-3,0,0,0,1,1,"middle",9,0
"253",521,2,59,-3,1,0,1,1,1,"middle",9,0
"254",523,2,46,0,-3,0,1,1,1,"middle",9,0
"255",525,2,39,-1,-2,0,1,1,1,"middle",9,0
"256",527,2,54,-3,-2,0,1,1,1,"middle",9,0
"257",529,2,4,0,1,0,2,1,1,"end",9,0
"258",531,2,13,2,0,-1,2,0,1,"end",9,0
"259",533,2,23,-1,1,-1,2,-1,1,"end",9,0
"260",535,2,14,-4,3,-1,2,-1,1,"end",9,0
"261",537,2,61,0,1,-2,2,-1,1,"end",9,0
"262",539,2,8,0,1,-2,2,-1,1,"end",9,0
"263",541,2,55,-2,2,-2,2,-1,1,"end",9,0
"264",543,2,7,-2,2,-2,0,-2,1,"end",9,0
"265",545,2,58,1,-2,-1,-1,-1,1,"end",9,0
"266",547,2,56,1,-1,-1,-1,-2,1,"end",9,0
"267",550,2,45,0,-8,0,0,0,1,"beginning",10,1
"268",552,2,43,-4,-4,0,0,0,1,"beginning",10,1
"269",554,2,20,-3,0,0,0,0,1,"beginning",10,1
"270",556,2,26,2,-1,0,0,0,1,"beginning",10,1
"271",558,2,33,-2,1,0,0,0,1,"beginning",10,1
"272",560,2,52,-5,0,0,0,0,1,"beginning",10,1
"273",562,2,25,0,1,0,0,0,1,"beginning",10,1
"274",564,2,48,1,0,0,0,0,1,"beginning",10,1
"275",566,2,38,-1,2,0,0,1,1,"beginning",10,1
"276",568,2,24,0,3,0,0,1,1,"beginning",10,1
"277",570,2,29,2,2,0,0,1,1,"middle",10,1
"278",572,2,32,1,0,-1,0,0,1,"middle",10,1
