"","X","player","action","numMoves","frontier","corners","Xsquares","CSquares","parity","state","gameId","win"
"1",1,2,29,0,-8,0,0,0,1,"beginning",1,0
"2",3,2,26,0,-9,0,0,0,1,"beginning",1,0
"3",5,2,43,-3,-5,0,0,0,1,"beginning",1,0
"4",7,2,42,0,-4,0,0,0,1,"beginning",1,0
"5",9,2,52,-2,-6,0,0,0,1,"beginning",1,0
"6",11,2,25,-7,-4,0,0,0,1,"beginning",1,0
"7",13,2,12,0,1,0,0,0,1,"beginning",1,0
"8",15,2,38,-3,4,0,0,0,1,"beginning",1,0
"9",17,2,53,-3,5,0,0,0,1,"beginning",1,0
"10",19,2,20,-3,8,0,0,0,1,"beginning",1,0
"11",21,2,58,0,2,0,0,0,1,"middle",1,0
"12",23,2,33,1,-2,0,0,0,1,"middle",1,0
"13",25,2,50,3,-2,0,0,0,1,"middle",1,0
"14",27,2,40,4,-5,0,0,0,1,"middle",1,0
"15",29,2,61,0,-3,0,0,0,1,"middle",1,0
"16",31,2,23,-3,1,0,0,0,1,"middle",1,0
"17",33,2,39,-3,1,0,0,-1,1,"middle",1,0
"18",35,2,54,-5,2,0,0,-1,1,"middle",1,0
"19",37,2,21,-2,0,0,1,-1,1,"middle",1,0
"20",39,2,49,-1,-2,0,1,-1,1,"middle",1,0
"21",41,2,14,2,-2,0,2,-1,1,"end",1,0
"22",43,2,6,2,0,0,3,-1,1,"end",1,0
"23",45,2,63,4,-3,0,1,-1,1,"end",1,0
"24",47,2,62,3,-2,0,1,0,1,"end",1,0
"25",49,2,10,3,-2,0,1,0,1,"end",1,0
"26",51,2,32,0,0,0,1,0,1,"end",1,0
"27",53,2,57,2,-3,-1,0,0,1,"end",1,0
"28",55,2,2,2,-3,-1,0,0,1,"end",1,0
"29",57,2,8,1,-2,-1,0,-1,1,"end",1,0
"30",59,2,0,0,0,-1,-1,0,1,"end",1,0
"31",62,2,45,0,-8,0,0,0,1,"beginning",2,1
"32",64,2,43,-4,-4,0,0,0,1,"beginning",2,1
"33",66,2,20,-3,0,0,0,0,1,"beginning",2,1
"34",68,2,38,2,-1,0,0,0,1,"beginning",2,1
"35",70,2,33,1,-2,0,0,0,1,"beginning",2,1
"36",72,2,26,-1,3,0,0,0,1,"beginning",2,1
"37",74,2,25,1,1,0,0,0,1,"beginning",2,1
"38",76,2,16,3,-3,0,0,0,1,"beginning",2,1
"39",78,2,17,2,0,0,0,0,1,"beginning",2,1
"40",80,2,48,1,1,0,0,0,1,"beginning",2,1
"41",82,2,29,3,5,0,0,1,1,"middle",2,1
"42",84,2,52,2,1,0,0,1,1,"middle",2,1
"43",86,2,59,3,-1,0,0,1,1,"middle",2,1
"44",88,2,53,1,0,0,0,1,1,"middle",2,1
"45",90,2,60,2,0,0,0,1,1,"middle",2,1
"46",92,2,10,1,-1,0,-1,1,1,"middle",2,1
"47",94,2,13,1,-3,0,-1,1,1,"middle",2,1
"48",96,2,4,-2,3,0,-1,1,1,"middle",2,1
"49",98,2,47,1,-1,0,-1,1,1,"middle",2,1
"50",100,2,0,3,3,0,-1,0,1,"middle",2,1
"51",102,2,1,2,4,1,-1,1,1,"end",2,1
"52",104,2,9,0,3,1,-1,1,1,"end",2,1
"53",106,2,56,-2,3,1,-1,1,1,"end",2,1
"54",108,2,5,-1,-1,2,0,0,1,"end",2,1
"55",110,2,54,2,-3,2,-1,0,1,"end",2,1
"56",112,2,57,1,-1,2,0,0,1,"end",2,1
"57",114,2,62,3,-3,1,-1,0,1,"end",2,1
"58",116,2,39,3,-3,1,-1,0,1,"end",2,1
"59",118,2,7,3,-3,1,-1,-1,1,"end",2,1
"60",120,2,23,1,-1,2,0,0,1,"end",2,1
"61",123,2,29,0,-8,0,0,0,1,"beginning",3,0
"62",125,2,26,0,-9,0,0,0,1,"beginning",3,0
"63",127,2,43,-3,-5,0,0,0,1,"beginning",3,0
"64",129,2,42,0,-4,0,0,0,1,"beginning",3,0
"65",131,2,52,-2,-6,0,0,0,1,"beginning",3,0
"66",133,2,50,-7,-4,0,0,0,1,"beginning",3,0
"67",135,2,46,-1,-1,0,0,0,1,"beginning",3,0
"68",137,2,20,0,-3,0,0,0,1,"beginning",3,0
"69",139,2,33,1,-3,0,0,0,1,"beginning",3,0
"70",141,2,30,-1,-3,0,0,0,1,"beginning",3,0
"71",143,2,39,1,-4,0,0,0,1,"middle",3,0
"72",145,2,58,4,-6,0,0,0,1,"middle",3,0
"73",147,2,13,4,-5,0,0,0,1,"middle",3,0
"74",149,2,4,2,0,0,0,0,1,"middle",3,0
"75",151,2,60,4,-4,0,0,0,1,"middle",3,0
"76",153,2,57,5,-4,0,0,0,1,"middle",3,0
"77",155,2,3,7,-6,0,0,0,1,"middle",3,0
"78",157,2,15,9,-6,0,0,0,1,"middle",3,0
"79",159,2,32,6,-3,0,0,1,1,"middle",3,0
"80",161,2,16,3,-1,0,0,1,1,"middle",3,0
"81",163,2,55,0,3,0,0,1,1,"end",3,0
"82",165,2,25,1,4,-1,0,1,1,"end",3,0
"83",167,2,54,1,1,-1,0,1,1,"end",3,0
"84",169,2,40,1,-2,-1,1,0,1,"end",3,0
"85",171,2,6,0,-4,-1,1,-1,1,"end",3,0
"86",173,2,31,0,-2,-1,1,-1,1,"end",3,0
"87",175,2,9,-2,-2,-2,0,-1,1,"end",3,0
"88",177,2,17,-3,0,-2,1,-1,1,"end",3,0
"89",179,2,1,-2,0,-3,1,-1,1,"end",3,0
"90",184,2,45,0,-8,0,0,0,1,"beginning",4,1
"91",186,2,43,-4,-4,0,0,0,1,"beginning",4,1
"92",188,2,38,-3,0,0,0,0,1,"beginning",4,1
"93",190,2,42,3,-2,0,0,0,1,"beginning",4,1
"94",192,2,18,2,-1,0,0,0,1,"beginning",4,1
"95",194,2,30,0,5,0,0,0,1,"beginning",4,1
"96",196,2,19,7,-3,0,0,0,1,"beginning",4,1
"97",198,2,29,-1,-6,0,0,0,1,"beginning",4,1
"98",200,2,25,6,-11,0,0,0,1,"beginning",4,1
"99",202,2,20,8,-10,0,0,0,1,"beginning",4,1
"100",204,2,31,4,-11,0,0,0,1,"middle",4,1
"101",206,2,40,1,-8,0,0,0,1,"middle",4,1
"102",208,2,51,2,-9,0,0,0,1,"middle",4,1
"103",210,2,41,2,-6,0,0,0,1,"middle",4,1
"104",212,2,61,2,-8,0,0,0,1,"middle",4,1
"105",214,2,47,3,-7,0,0,-1,1,"middle",4,1
"106",216,2,62,5,-5,0,0,-1,1,"middle",4,1
"107",218,2,11,7,-8,0,0,0,1,"middle",4,1
"108",220,2,16,6,-5,0,-1,0,1,"middle",4,1
"109",222,2,12,5,-5,0,-1,-1,1,"middle",4,1
"110",224,2,23,2,-4,0,-2,-1,1,"end",4,1
"111",226,2,56,6,-6,0,-2,-1,1,"end",4,1
"112",228,2,0,5,-4,1,-1,0,1,"end",4,1
"113",230,2,9,4,-2,2,-1,1,1,"end",4,1
"114",232,2,10,4,-3,2,-1,1,1,"end",4,1
"115",234,2,54,4,-2,2,-1,1,1,"end",4,1
"116",236,2,7,3,-2,2,0,0,1,"end",4,1
"117",238,2,60,2,-1,2,0,0,1,"end",4,1
"118",240,2,58,1,0,2,0,0,1,"end",4,1
"119",242,2,5,1,-1,2,0,0,1,"end",4,1
"120",245,2,45,0,-8,0,0,0,1,"beginning",5,0
"121",247,2,43,-4,-4,0,0,0,1,"beginning",5,0
"122",249,2,21,-4,-2,0,0,0,1,"beginning",5,0
